Type of Vehicle,# of Doors,Mileage,2W or 4W Drive,Seating Capacity,References
Wagon,4,19701,2,5,https://www.carvana.com/vehicle/1710322
Wagon,4,52820,4,5,https://www.carvana.com/vehicle/1704478
Wagon,4,88854,2,5,https://www.carvana.com/vehicle/1706503
Wagon,4,38790,4,5,https://www.carvana.com/vehicle/1704794
Wagon,4,74144,2,5,https://www.carvana.com/vehicle/1703967
Wagon,4,93672,2,5,https://www.carvana.com/vehicle/1699833
Wagon,4,8211,4,5,https://www.carvana.com/vehicle/1696857
Wagon,4,11890,2,5,https://www.carvana.com/vehicle/1698125
Wagon,4,24048,2,5,https://www.carvana.com/vehicle/1686352
Wagon,4,52660,4,5,https://www.carvana.com/vehicle/1687662
Wagon,4,34980,2,5,https://www.carvana.com/vehicle/1687356
Wagon,4,72340,4,5,https://www.carvana.com/vehicle/1672033
Minivan,4,43628,2,7,https://www.carvana.com/vehicle/1714646
Minivan,4,32544,2,7,https://www.carvana.com/vehicle/1711810
Minivan,4,29729,4,7,https://www.carvana.com/vehicle/1708373
Minivan,4,60654,2,5,https://www.carvana.com/vehicle/1703119
Minivan,4,16838,2,8,https://www.carvana.com/vehicle/1703105
Minivan,4,5453,2,2,https://www.carvana.com/vehicle/1666667
Minivan,4,7896,2,7,https://www.carvana.com/vehicle/1657952
Minivan,4,84547,2,7,https://www.carvana.com/vehicle/1623717
Minivan,3,21297,2,2,https://www.carvana.com/vehicle/1614472
Minivan,4,142656,2,7,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageBody&bodyTypeGroup=bg4&minPrice=0&maxPrice=&zip=79403#listing=286932710
Minivan,4,185536,2,7,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageBody&bodyTypeGroup=bg4&minPrice=0&maxPrice=&zip=79403#listing=296284278
Minivan,4,94434,2,7,https://www.carvana.com/vehicle/1647630
Minivan,4,33380,2,7,https://www.carvana.com/vehicle/1688657
Minivan,3,44800,2,2,https://www.carvana.com/vehicle/1641154
Minivan,4,97208,2,7,https://www.carvana.com/vehicle/1640470
Minivan,4,80135,2,7,https://www.carvana.com/vehicle/1636006
Minivan,4,62093,2,8,https://www.carvana.com/vehicle/1655185
Minivan,4,15163,2,8,https://www.carvana.com/vehicle/1715438
Convertible,2,26046,2,2,https://www.carvana.com/vehicle/1711695
Convertible,4,31284,2,4,https://www.carvana.com/vehicle/1714585
Convertible,2,45752,2,4,https://www.carvana.com/vehicle/1712029
Convertible,2,24044,2,4,https://www.carvana.com/vehicle/1706903
Convertible,2,65532,2,2,https://www.carvana.com/vehicle/1701685
Convertible,2,18757,2,4,https://www.carvana.com/vehicle/1696662
Convertible,2,93308,2,4,https://www.carvana.com/vehicle/1696691
Convertible,2,5825,2,2,https://www.carvana.com/vehicle/1673063
Convertible,2,38255,2,2,https://www.carvana.com/vehicle/1710815
Convertible,2,58736,2,4,https://www.carvana.com/vehicle/1643613
Convertible,2,47398,2,4,https://www.carvana.com/vehicle/1630017
Convertible,2,16700,2,4,https://www.carvana.com/vehicle/1668149
Convertible,2,37573,4,4,https://www.carvana.com/vehicle/1654698
Convertible,2,23466,2,4,https://www.carvana.com/vehicle/1707615
Convertible,2,28319,2,2,https://www.carvana.com/vehicle/1618852
Convertible,2,83789,2,4,https://www.carvana.com/vehicle/1682936
Convertible,2,32121,2,2,https://www.carvana.com/vehicle/1700508
Convertible,2,40798,2,4,https://www.carvana.com/vehicle/1628878
Limousine,4,62000,4,18,https://limoforsale.com/limos-for-sale/audi/q7/2012-audi-q7-suv-stretch-limo-pinnacle-limousine-manufacturing-15317.html
Limousine,4,189000,2,6,https://limoforsale.com/limos-for-sale/chrysler/300/2015-chrysler-300-sedan-stretch-limo-springfield-15318.html
Limousine,4,10500,2,20,https://limoforsale.com/limos-for-sale/cadillac/escalade/2003-cadillac-escalade-suv-stretch-limo-royal-coach-builders-15316.html
Limousine,3,105000,2,28,https://limoforsale.com/limos-for-sale/ford/f_550/2017-ford-f-550-mini-bus-limo-tiffany-coachworks-15103.html
Limousine,2,134900,2,8,https://limoforsale.com/limos-for-sale/mercedes-benz/sprinter/2020-mercedes-benz-sprinter-van-limo-midwest-automotive-designs-13989.html
Limousine,4,19900,2,24,https://limoforsale.com/limos-for-sale/hummer/h2/2008-hummer-h2-suv-stretch-limo-royal-coach-builders-15300.html
